mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__class_weight,param_rf__criterion,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,param_scaler__feature_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
31.737434768676756,0.12778730194142665,0.8503123760223389,0.03072638255082981,,entropy,20,sqrt,1,2,100,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100, 'scaler__feature_range': (0, 1)}",0.5662619970762093,0.5764219891960597,0.6311741148051618,0.5623649078194533,0.5999364272091545,0.5872318872212079,0.025562791529565157,49
31.717468118667604,0.08403119293168704,0.7470850467681884,0.09909159931331685,,entropy,20,sqrt,1,2,100,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 100, 'scaler__feature_range': (-1, 1)}",0.5620034322761075,0.5758500158881474,0.6295848960650944,0.5643356643356643,0.5957406230133503,0.5855029263156728,0.025065866712444887,54
40.00300192832947,0.15615712050487437,0.648693037033081,0.012145695102850889,,entropy,20,sqrt,1,2,125,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 125, 'scaler__feature_range': (0, 1)}",0.5637195703298798,0.574960279631395,0.6305384273091348,0.5635727908455181,0.5969485060394152,0.5859479148310686,0.025396064301001914,52
43.04538154602051,1.3774132570612325,0.701154375076294,0.07807663510424274,,entropy,20,sqrt,1,2,125,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 125, 'scaler__feature_range': (-1, 1)}",0.5634653276552469,0.5783921194788688,0.6297756023139025,0.5632549268912905,0.5984742530197076,0.5866724458718033,0.025110472251719314,51
50.5018283367157,2.317384791371353,0.7920299053192139,0.0402420703249822,,entropy,20,sqrt,1,2,150,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 150, 'scaler__feature_range': (0, 1)}",0.5649907837030446,0.5751509374006991,0.6290127773186701,0.5643992371265099,0.594850603941513,0.5856808678980874,0.024304753698464954,53
45.32300090789795,0.48023398125219635,0.7459393978118897,0.0887722467362378,,entropy,20,sqrt,1,2,150,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 2, 'rf__n_estimators': 150, 'scaler__feature_range': (-1, 1)}",0.5660713150702346,0.5747060692723228,0.6313648210539698,0.5638906547997458,0.5979020979020979,0.5867869916196742,0.025337950367691854,50
28.96805868148804,0.5268536090891074,0.5018074989318848,0.03377356312001436,,entropy,20,sqrt,1,5,100,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 100, 'scaler__feature_range': (0, 1)}",0.5686773024852222,0.580807117890054,0.6378488335134448,0.5706293706293706,0.6027972027972028,0.5921519654630589,0.025863148626056612,47
28.602592515945435,0.05493948960592296,0.4871824741363525,0.0479323808715314,,entropy,20,sqrt,1,5,100,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 100, 'scaler__feature_range': (-1, 1)}",0.5688679844911968,0.5811884334286622,0.6377216960142394,0.5680228862047044,0.601970756516211,0.5915543513310028,0.026137247588151752,48
35.0059693813324,0.12238102034427673,0.625328254699707,0.13375722294405495,,entropy,20,sqrt,1,5,125,"(0, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 125, 'scaler__feature_range': (0, 1)}",0.5695035911777792,0.5823959326342548,0.6392473460047041,0.5694850603941513,0.6043865225683408,0.593003690555846,0.02640435455557305,44
35.355265617370605,0.2313263579943577,0.5692482471466065,0.021009080836712008,,entropy,20,sqrt,1,5,125,"(-1, 1)","{'rf__class_weight': None, 'rf__criterion': 'entropy', 'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 125, 'scaler__feature_range': (-1, 1)}",0.5689315451598551,0.5803622497616778,0.6394380522535121,0.5703750794659885,0.601970756516211,0.592215536631449,0.026399926266331555,46
